CED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED501,21,39,0,0,0,44,46,67,155,2709,2051,338,5098,247,252,499,5598,3145,97,8843
CED502,12,26,4,5,10,36,43,76,143,2537,1821,252,4611,276,286,569,5176,3313,116,8607
CED503,6,25,0,0,0,26,32,39,99,1921,1695,244,3857,199,222,416,4282,2524,69,6871
CED504,17,27,0,0,3,30,30,46,107,2650,2024,270,4942,204,260,463,5401,3469,104,8976
CED505,4,12,0,0,0,12,5,18,33,2065,1458,129,3647,103,99,196,3844,1531,44,5413
CED506,13,31,8,0,6,38,95,115,251,2259,1384,268,3912,171,194,361,4273,2900,178,7354
CED507,9,21,0,0,0,26,25,34,77,1954,1913,245,4115,122,134,254,4367,2081,55,6501
CED508,4,19,0,6,3,21,17,37,75,2444,1866,209,4516,125,171,293,4807,2151,71,7027
CED509,17,28,0,0,0,28,28,33,95,2588,1756,271,4609,163,163,324,4929,2230,58,7223
CED510,7,20,0,0,0,20,16,16,50,2262,1503,187,3949,92,102,196,4147,1503,40,5688
CED511,7,26,0,0,4,28,44,84,158,1805,1439,210,3449,138,133,272,3718,2303,136,6157
CED512,13,41,3,4,4,45,21,32,96,2894,2149,277,5323,207,218,422,5747,2334,57,8137
CED513,8,20,0,0,0,15,21,31,67,2253,1423,160,3830,136,130,270,4100,1987,60,6149
CED514,5,11,3,3,3,14,36,50,104,2338,1532,175,4048,176,194,370,4414,2370,87,6871
CED515,9,15,0,0,3,22,17,25,61,2234,1555,178,3963,102,123,225,4193,1992,46,6225
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
