CED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
CED501,29,328,0,356,5198,367,5919,242,196,9,442,4668,637,5752,3872,332,127,4332,6988,1621,12933,6464,231,250,6943,4486,1449,12883,3210,393,97,3704,6977,1019,11702,553,940,15,1509,7608,666,9784,88,743,0,826,5249,371,6453,12,170,0,188,3117,266,3570,0,9,0,14,865,156,1033,14473,3349,502,18319,45142,6563,70029,53,525,7,585,4601,299,5488,581,410,23,1016,4030,333,5382,6244,575,426,7244,5245,751,13245,8079,458,531,9070,3519,628,13219,2995,1075,159,4231,7106,529,11859,204,2373,28,2601,6913,392,9901,63,1352,8,1422,5412,339,7174,18,217,0,230,3377,341,3951,3,10,0,17,1197,254,1466,18239,6991,1183,26414,41411,3854,71674,81,849,6,942,9794,667,11407,825,605,27,1462,8702,969,11132,10117,903,553,11574,12233,2369,26178,14545,691,778,16013,8001,2079,26097,6207,1473,260,7933,14080,1544,23560,755,3314,42,4113,14516,1060,19691,149,2090,16,2249,10657,710,13616,24,386,3,415,6498,607,7519,3,25,0,27
CED502,16,296,0,310,4761,337,5412,229,230,9,468,4913,393,5773,3430,360,91,3878,8161,1012,13049,7387,242,179,7811,6058,978,14844,3036,320,93,3451,6838,812,11100,550,649,17,1214,6933,555,8697,118,808,7,932,5366,325,6621,22,175,3,198,2833,212,3248,4,13,0,18,782,145,940,14784,3086,406,18273,46644,4776,69692,48,470,3,523,4407,314,5243,576,418,39,1030,4210,343,5587,6115,568,278,6953,6245,838,14034,8658,444,445,9546,4317,741,14600,2600,905,134,3638,6498,530,10672,290,1955,26,2271,6459,409,9131,88,1446,15,1545,5395,348,7289,17,214,0,231,3187,309,3728,0,17,0,17,1173,250,1437,18388,6434,943,25765,41884,4070,71717,63,767,4,835,9172,648,10650,804,648,49,1499,9115,740,11357,9548,922,366,10835,14404,1844,27081,16046,687,628,17352,10375,1715,29443,5635,1226,228,7089,13338,1349,21774,836,2605,43,3482,13389,955,17836,205,2254,17,2478,10768,674,13916,42,389,8,432,6022,524,6976,4,23,0,28
CED503,27,276,0,301,4055,271,4627,209,145,3,359,3356,279,3996,2810,225,79,3114,4511,745,8367,4648,211,196,5052,3255,923,9227,2640,365,78,3079,5869,889,9837,516,924,10,1447,7837,686,9973,86,941,4,1027,7961,556,9539,24,212,0,236,4988,401,5629,0,10,0,13,1361,196,1571,10960,3302,377,14630,43195,4942,62773,37,435,3,469,3849,270,4599,483,334,18,835,2939,244,4013,4634,428,310,5368,3434,505,9309,5975,352,446,6774,2568,517,9854,2498,970,154,3627,6172,513,10309,193,2382,24,2601,7676,467,10745,51,1649,6,1704,7909,452,10067,19,232,5,250,5058,465,5780,3,17,0,22,1731,355,2108,13886,6795,969,21649,41342,3791,66779,56,707,4,768,7907,543,9221,693,472,25,1191,6295,526,8011,7440,652,390,8481,7945,1250,17675,10622,556,642,11824,5828,1434,19084,5141,1333,236,6704,12043,1402,20147,713,3304,40,4046,15513,1155,20723,136,2587,11,2731,15870,1006,19607,42,443,5,493,10054,867,11411,3,29,0,36
CED504,27,216,0,243,4622,245,5106,103,190,11,302,5270,416,5990,2598,343,70,3010,9448,928,13385,5617,208,131,5960,5868,865,12690,3249,219,65,3538,6786,660,10984,710,722,17,1453,8357,510,10324,151,1198,0,1349,6421,345,8118,18,310,4,327,3837,258,4419,3,21,0,26,1155,122,1300,12473,3426,306,16202,51772,4348,72324,34,398,3,439,4164,269,4881,305,351,22,680,4624,304,5609,4532,587,192,5317,7350,774,13440,7004,362,304,7674,4339,677,12680,3082,633,138,3846,6963,485,11288,309,2155,32,2499,8093,420,11010,101,2127,18,2245,6561,376,9184,17,356,4,376,4343,347,5066,0,23,0,30,1686,215,1937,15388,6995,715,23094,48129,3861,75084,60,612,4,680,8792,514,9985,413,536,25,984,9899,719,11595,7129,930,266,8324,16794,1697,26823,12623,569,436,13629,10205,1536,25369,6326,852,203,7380,13750,1142,22277,1015,2881,55,3950,16455,932,21335,252,3323,21,3596,12979,722,17297,32,666,3,705,8183,604,9489,6,46,0,48
CED505,6,226,0,235,5269,168,5673,17,110,0,122,4853,214,5193,1270,243,30,1538,8911,823,11275,5999,175,166,6341,4366,644,11353,5139,148,138,5431,5144,471,11040,997,527,18,1542,7401,393,9334,139,1537,3,1689,5655,376,7722,35,579,0,616,3881,347,4842,3,22,0,29,1601,229,1852,13610,3576,361,17540,47074,3661,68286,14,356,0,369,4879,198,5442,41,250,4,296,4969,238,5501,2283,532,86,2900,8678,634,12214,7551,385,459,8397,3380,459,12230,5296,352,217,5864,5665,367,11890,453,1577,19,2045,7667,326,10041,93,2819,11,2924,5331,405,8655,41,770,0,808,4610,401,5817,9,38,0,38,2728,404,3173,15767,7079,801,23650,47907,3422,74980,20,583,5,605,10146,360,11116,53,360,4,419,9826,456,10697,3554,770,120,4440,17586,1460,23487,13547,565,626,14737,7744,1104,23589,10437,504,353,11288,10807,836,22932,1442,2101,40,3589,15075,715,19378,237,4357,14,4613,10981,780,16374,70,1350,6,1426,8489,745,10662,5,60,0,67
CED506,41,369,8,420,4419,881,5721,293,271,28,596,3915,1037,5547,3524,453,193,4167,7739,3072,14976,6122,378,293,6795,5456,2897,15144,3131,470,129,3727,8285,2604,14618,571,888,29,1479,10111,2107,13697,99,658,4,758,7311,1087,9150,18,131,0,148,3313,525,3985,8,12,0,17,791,163,968,13803,3617,685,18103,51345,14359,83807,76,566,25,667,3753,735,5151,640,416,71,1130,3181,767,5073,5140,639,526,6305,6129,2059,14497,6906,583,653,8148,3933,1827,13907,2588,1062,192,3845,7487,1584,12916,239,1977,31,2243,8383,1320,11950,39,1149,18,1202,6078,822,8100,10,183,3,198,3017,494,3715,0,12,3,24,1017,226,1268,15643,6598,1522,23758,42972,9844,76576,121,930,33,1081,8175,1611,10871,931,687,102,1726,7097,1803,10620,8662,1092,718,10477,13871,5130,29474,13032,961,945,14936,9385,4726,29047,5721,1532,317,7573,15772,4191,27532,803,2864,57,3725,18494,3431,25648,135,1808,21,1962,13388,1907,17253,28,318,4,348,6337,1016,7701,6,25,0,35
CED507,20,211,0,228,4188,311,4735,172,115,3,293,2947,266,3503,2377,202,78,2663,4813,907,8385,5200,191,216,5613,3337,976,9924,3280,285,112,3677,5876,964,10511,543,794,14,1350,7997,727,10077,86,1019,3,1107,7434,586,9124,17,184,0,208,3971,326,4499,0,9,0,12,1122,175,1301,11703,3006,434,15148,41681,5239,62069,19,388,0,409,3837,278,4525,349,215,20,578,2430,206,3212,3818,358,279,4458,3771,561,8785,6647,348,523,7518,2704,541,10762,3124,759,180,4058,6361,548,10969,198,2167,25,2395,7940,527,10861,61,1606,7,1681,7175,550,9404,20,214,0,237,4273,383,4893,3,10,0,23,1729,265,2010,14250,6062,1040,21350,40223,3857,65428,41,594,4,642,8026,593,9255,517,329,24,874,5379,470,6720,6199,560,361,7117,8583,1467,17173,11853,540,744,13133,6048,1509,20693,6403,1043,291,7731,12235,1512,21483,740,2959,36,3743,15934,1256,20938,150,2626,12,2788,14607,1137,18530,39,395,5,443,8243,704,9389,8,26,0,31
CED508,10,219,3,236,4059,191,4485,88,151,0,239,4419,275,4935,2318,291,64,2669,8383,830,11888,6294,261,197,6747,4898,822,12463,3789,272,115,4174,6244,657,11080,710,704,17,1429,7445,488,9362,105,1101,3,1213,5417,342,6971,25,273,0,300,3025,277,3603,4,22,0,25,1017,169,1208,13338,3280,402,17030,44907,4047,65985,15,317,3,339,3911,175,4422,199,302,15,511,4395,258,5169,3871,615,176,4666,7481,629,12774,7675,414,494,8582,3757,505,12844,3613,686,190,4499,6499,440,11433,315,2015,24,2357,7300,363,10021,62,1976,15,2055,5277,357,7688,21,355,5,385,3348,342,4071,3,16,0,18,1593,319,1930,15776,6701,926,23404,43557,3389,70349,27,540,7,574,7965,364,8904,284,447,18,750,8820,533,10100,6192,902,242,7339,15868,1461,24662,13968,669,688,15325,8653,1326,25311,7400,959,310,8674,12745,1101,22514,1021,2718,47,3787,14747,849,19380,165,3085,16,3270,10692,698,14658,44,627,9,680,6366,614,7668,8,38,0,44
CED509,24,302,0,326,5045,258,5632,138,207,0,347,4406,427,5180,3168,318,90,3570,6716,1422,11712,6358,237,163,6764,4615,1370,12749,3643,327,107,4082,6463,1042,11588,654,775,22,1452,7594,698,9746,121,1030,8,1148,5627,329,7103,19,258,3,278,3285,264,3821,5,8,0,14,961,157,1127,14122,3453,402,17975,44708,5970,68650,24,477,8,504,4422,222,5156,348,379,16,737,3795,260,4793,5435,551,269,6261,5324,677,12260,7725,404,447,8581,3458,587,12627,3375,860,172,4406,6851,481,11737,290,2152,27,2474,7112,377,9961,69,1787,10,1866,5378,341,7583,17,315,4,334,3539,296,4168,0,16,0,16,1382,259,1651,17279,6940,962,25182,41259,3497,69938,44,772,12,828,9466,486,10784,483,588,16,1083,8203,684,9971,8603,868,363,9834,12041,2094,23971,14090,641,618,15340,8068,1958,25366,7019,1189,281,8485,13320,1526,23326,949,2929,51,3928,14706,1076,19710,188,2817,20,3022,11002,671,14690,33,572,6,613,6819,557,7991,5,24,0,30
CED510,17,234,0,253,5088,141,5484,37,133,4,171,4546,178,4894,1744,190,32,1965,5615,432,8010,6397,173,208,6781,3252,516,10551,4687,224,113,5017,5934,552,11510,654,1030,19,1706,8638,430,10774,127,1973,6,2100,6704,275,9078,18,416,3,432,3264,192,3892,0,12,0,11,1029,83,1131,13682,4380,379,18447,44068,2811,65320,10,328,5,343,4564,136,5034,101,226,3,331,3847,115,4302,2920,355,163,3447,4376,316,8136,7799,312,506,8622,2306,289,11210,4478,589,183,5246,6394,287,11932,294,2827,28,3156,8254,303,11711,97,3020,16,3132,6140,291,9564,16,424,4,442,3591,245,4287,4,12,0,15,1684,165,1868,15723,8103,902,24735,41152,2151,68038,25,564,5,593,9652,280,10523,141,354,7,505,8394,297,9197,4666,548,197,5409,9987,748,16143,14194,489,711,15396,5557,802,21760,9163,808,297,10264,12333,841,23435,952,3863,45,4859,16894,733,22482,225,4991,14,5230,12835,567,18638,31,841,9,881,6852,442,8175,4,32,0,31
