POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6000,1174,3050,880,934,908,450,298,590,150,8429
POA6003,320,792,281,295,244,143,82,160,32,2340
POA6004,1075,2583,692,792,839,389,249,451,97,7173
POA6005,518,1679,340,370,449,189,105,193,50,3903
POA6006,911,2247,502,536,589,351,129,264,70,5591
POA6007,787,2232,370,403,480,290,78,191,57,4888
POA6008,1336,4236,463,703,829,490,129,336,108,8629
POA6009,1438,4132,373,1028,860,639,148,378,146,9142
POA6010,1790,3889,437,917,883,606,132,303,115,9073
POA6011,986,2079,211,430,435,329,66,124,101,4762
POA6012,836,1733,278,482,424,321,99,235,65,4486
POA6014,1935,4661,774,1146,1204,715,310,773,135,11657
POA6015,718,1310,136,256,351,236,50,107,60,3235
POA6016,907,2173,548,712,575,416,236,545,74,6187
POA6017,233,625,351,360,297,193,199,410,35,2704
POA6018,3453,7652,2313,2129,2663,1663,663,1151,311,22018
POA6019,2246,4804,1594,1479,1540,934,452,693,222,13971
POA6020,2002,3594,1205,1122,1430,913,261,537,157,11219
POA6021,1423,2760,1446,1091,1557,1012,521,791,177,10766
POA6022,285,712,457,281,342,182,119,185,29,2598
POA6023,1244,2522,965,771,1027,590,248,413,93,7877
POA6024,803,1770,1113,751,997,516,341,520,103,6908
POA6025,2382,4327,2567,1861,2171,1195,671,1055,210,16439
POA6026,1509,3003,1678,1345,1832,1017,506,748,116,11755
POA6027,2725,5093,3822,2770,3074,1882,1138,1813,397,22702
POA6028,1888,2988,2057,1568,1964,1192,563,895,197,13309
POA6029,268,520,141,157,158,116,23,69,26,1477
POA6030,2153,3384,3534,2865,2713,1823,1462,2090,364,20381
POA6031,955,1657,1779,1346,1377,890,744,1062,186,9987
POA6032,12,21,15,11,14,8,4,25,4,113
POA6033,48,39,39,13,30,14,12,31,9,248
POA6034,176,284,347,306,253,170,155,174,26,1888
POA6035,444,595,914,683,599,381,504,548,101,4774
POA6036,884,1385,1607,1290,1142,953,694,913,173,9035
POA6037,155,194,354,193,169,128,191,199,21,1596
POA6038,527,930,1024,825,672,440,405,466,71,5356
POA6041,74,63,125,56,64,44,84,95,13,610
POA6042,6,6,4,0,5,0,0,0,0,22
POA6043,18,8,13,8,6,7,8,16,4,95
POA6044,73,53,84,42,49,26,64,157,21,558
POA6050,1500,3214,704,872,967,603,215,410,94,8568
POA6051,984,2590,833,937,939,495,421,541,134,7871
POA6052,949,2147,651,644,839,455,195,365,68,6316
POA6053,1197,2625,990,922,1080,524,390,529,105,8368
POA6054,1151,2459,1546,1229,1389,814,689,958,161,10390
POA6055,1801,3194,2857,2265,2342,1302,1682,1459,279,17181
POA6056,2026,3060,3372,2469,2628,1747,1972,2076,407,19764
POA6057,867,1188,1515,961,1363,711,1026,771,140,8545
POA6058,580,846,1285,714,934,529,787,618,129,6420
POA6059,1530,3235,1536,1360,1648,1134,541,970,209,12159
POA6060,1664,4319,1809,1678,1887,1062,729,1178,216,14535
POA6061,1380,3045,2939,3149,2143,1579,1940,2767,433,19374
POA6062,1721,3484,2667,2012,2319,1431,1203,1701,307,16845
POA6063,590,874,1280,981,876,672,749,923,158,7106
POA6064,1049,1690,2435,1965,1633,1210,1402,2161,296,13843
POA6065,4168,6759,5884,4303,5076,3281,2460,3268,555,35750
POA6066,811,1251,1613,1187,1223,892,905,1104,177,9154
POA6067,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,3
POA6069,2514,3359,3861,3272,3314,2201,2285,2199,402,23411
POA6070,319,628,221,192,204,124,63,91,30,1873
POA6071,247,508,266,208,220,124,90,108,27,1800
POA6072,58,84,79,37,67,35,29,39,6,438
POA6073,203,331,241,148,166,110,116,112,18,1444
POA6074,62,102,108,58,62,27,39,39,6,499
POA6076,1637,2683,1669,1095,1438,724,568,721,164,10693
POA6077,131,107,156,81,128,52,56,66,5,782
POA6078,88,65,113,45,51,38,38,46,8,491
POA6079,3,0,0,0,4,0,0,3,0,7
POA6081,344,520,456,302,354,187,178,189,48,2574
POA6082,164,284,344,220,180,125,161,133,31,1645
POA6083,315,269,361,187,255,123,162,147,33,1858
POA6084,547,561,1011,481,624,304,554,474,92,4641
POA6090,3,0,6,0,0,0,6,0,0,13
POA6100,1255,2972,1064,1073,1111,634,481,668,153,9412
POA6101,1202,3118,1177,1092,1170,592,484,718,135,9686
POA6102,516,1533,851,1108,663,598,568,925,160,6919
POA6103,714,1617,922,786,793,449,462,503,107,6348
POA6104,866,1576,1180,897,976,559,703,689,136,7572
POA6105,727,1496,1330,946,1048,635,822,867,168,8047
POA6106,0,0,0,3,0,0,4,0,0,10
POA6107,1883,4674,3861,3279,2835,1839,2455,2959,532,24324
POA6108,861,1742,1911,1390,1463,922,1150,1325,183,10944
POA6109,327,615,1069,744,613,427,771,875,144,5592
POA6110,1716,3136,3441,2573,2720,1788,2315,2454,377,20525
POA6111,1148,1794,1945,1266,1380,905,1104,1152,165,10871
POA6112,3104,6118,5506,4321,4360,2663,3502,3373,638,33594
POA6121,235,238,324,158,259,113,160,138,34,1662
POA6122,1024,1376,2163,1409,1504,896,1331,1057,202,10957
POA6123,96,103,241,125,144,65,143,135,29,1082
POA6124,87,93,108,62,73,26,72,54,15,589
POA6125,217,209,368,159,214,114,175,157,64,1683
POA6126,37,18,21,13,8,10,6,13,4,126
POA6147,509,1356,1184,953,855,508,681,849,134,7035
POA6148,1126,2847,1034,963,1083,652,433,629,122,8893
POA6149,1179,3140,973,885,1329,624,381,556,141,9214
POA6150,824,2119,595,596,797,566,207,366,98,6175
POA6151,1595,3601,739,915,1079,684,243,440,146,9450
POA6152,1911,5025,1225,1444,1629,958,480,753,207,13638
POA6153,1990,4010,839,887,1372,875,256,456,156,10843
POA6154,786,1730,572,527,628,441,179,288,70,5214
POA6155,2991,7333,3481,2934,3423,2255,1631,2098,396,26536
POA6156,1518,2826,1012,897,1210,766,340,520,130,9221
POA6157,1225,2444,863,807,999,567,236,428,77,7646
POA6158,772,1509,318,408,408,290,78,188,43,4016
POA6159,418,914,133,194,167,87,35,85,40,2073
POA6160,740,1980,505,588,449,288,141,286,66,5050
POA6161,28,6,25,34,10,6,0,15,0,126
POA6162,932,2320,687,728,565,365,203,328,86,6213
POA6163,3191,6938,4443,3268,3322,2078,1609,2320,470,27634
POA6164,4012,8112,6022,4191,5041,2804,2518,3144,579,36416
POA6165,4,0,7,3,3,0,8,5,0,35
POA6166,781,1105,1030,557,770,484,353,464,101,5653
POA6167,976,1683,2323,1579,1542,1086,1502,1606,210,12506
POA6168,921,1185,1948,1681,1147,793,1036,1328,175,10214
POA6169,1363,2210,3079,2153,1746,1284,1554,1786,279,15451
POA6170,699,1495,1577,1244,1066,703,964,963,138,8833
POA6171,1882,2836,3456,2648,2314,1505,1780,1727,324,18478
POA6172,542,744,1255,869,687,654,660,733,131,6278
POA6173,768,1101,1291,972,773,615,466,554,115,6664
POA6174,271,433,582,417,304,237,266,305,51,2869
POA6175,195,359,431,263,203,174,171,190,45,2038
POA6176,118,117,186,153,118,97,113,110,31,1035
POA6180,291,448,586,467,328,301,349,327,42,3127
POA6181,36,41,53,33,33,23,22,23,9,270
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,78,57,155,57,62,38,64,51,11,574
POA6208,485,535,1049,618,479,445,770,629,88,5100
POA6209,74,87,184,89,72,74,97,83,8,771
POA6210,2858,4290,5444,4170,3096,2822,3185,3185,515,29570
POA6211,340,476,708,428,343,308,398,385,72,3464
POA6213,38,40,46,36,22,6,50,46,9,294
POA6214,66,27,60,31,25,14,48,40,4,322
POA6215,192,144,407,174,152,105,286,236,51,1750
POA6218,32,12,43,26,13,15,34,36,7,218
POA6219,47,30,65,24,21,11,35,41,5,275
POA6220,234,178,338,149,170,100,218,554,63,2008
POA6221,43,18,17,14,15,7,8,24,0,151
POA6223,24,14,20,7,8,10,9,8,6,103
POA6224,65,48,101,67,42,38,69,80,6,519
POA6225,290,322,808,403,296,261,583,542,80,3581
POA6226,69,67,124,46,63,29,55,46,8,499
POA6227,47,60,78,32,55,20,43,43,3,393
POA6228,25,6,11,9,3,3,5,10,0,69
POA6229,10,7,14,4,14,7,11,8,0,63
POA6230,1892,3712,3570,2534,2301,1796,1877,2716,314,20709
POA6232,409,676,1047,646,636,557,642,661,93,5364
POA6233,798,1432,1961,1124,1152,833,1112,1145,160,9715
POA6236,219,187,189,102,135,69,117,123,19,1156
POA6237,191,223,245,135,142,79,147,149,25,1342
POA6239,307,290,367,219,197,124,254,284,45,2079
POA6240,29,19,15,3,8,5,3,8,4,92
POA6243,9,4,3,0,0,5,3,5,0,36
POA6244,234,65,84,43,68,38,56,96,9,694
POA6251,49,10,21,12,14,4,13,30,0,148
POA6252,16,4,12,5,5,3,6,16,3,71
POA6253,71,47,39,26,21,14,28,20,3,276
POA6254,19,20,51,15,18,4,42,45,4,214
POA6255,305,297,304,224,167,136,219,205,30,1881
POA6256,80,24,33,24,23,11,16,24,4,241
POA6258,570,331,445,312,308,243,296,570,51,3123
POA6260,192,74,57,64,57,40,53,156,17,704
POA6262,93,29,39,36,18,11,30,59,3,311
POA6271,191,235,281,205,143,114,181,239,22,1621
POA6275,141,79,81,58,58,21,52,116,12,611
POA6280,1737,2141,2477,1805,1428,1393,1088,1787,225,14085
POA6281,610,817,805,454,380,357,166,451,72,4117
POA6282,158,194,106,71,65,54,21,81,17,772
POA6284,234,281,247,139,159,108,88,172,19,1445
POA6285,792,1030,950,673,412,463,303,735,71,5437
POA6286,78,66,73,41,32,43,31,52,3,423
POA6288,99,30,48,28,22,12,24,72,6,337
POA6290,110,81,112,78,67,62,34,103,14,656
POA6302,255,196,216,171,154,101,136,168,29,1421
POA6304,171,69,69,57,60,30,76,90,17,643
POA6306,142,36,33,43,38,20,31,59,6,420
POA6308,191,53,82,50,52,25,76,91,9,627
POA6309,41,7,12,11,16,7,12,29,3,130
POA6311,76,27,38,19,36,17,24,47,4,284
POA6312,304,326,312,248,212,153,155,273,29,2016
POA6313,41,15,13,9,14,0,7,17,0,119
POA6315,203,78,103,77,79,49,72,135,16,807
POA6316,73,15,13,9,11,11,20,22,0,176
POA6317,253,207,272,181,180,141,111,444,41,1834
POA6318,96,27,19,17,19,6,19,33,3,234
POA6320,111,19,18,18,14,0,18,26,0,234
POA6321,97,7,14,15,14,4,31,35,6,226
POA6322,41,11,7,7,8,3,3,11,3,99
POA6323,80,44,44,41,37,14,45,76,9,398
POA6324,337,181,210,166,151,109,133,272,37,1603
POA6326,85,37,26,13,31,17,21,38,9,287
POA6327,45,4,10,15,8,5,7,14,0,116
POA6328,94,17,18,14,19,9,16,39,6,225
POA6330,2065,3005,2696,2441,1817,1621,1183,2174,249,17254
POA6333,503,528,397,277,228,179,131,310,45,2592
POA6335,102,30,65,16,40,15,39,44,6,351
POA6336,88,10,13,7,10,3,13,39,0,195
POA6337,110,26,27,6,24,11,32,38,0,271
POA6338,150,23,46,18,27,8,27,67,4,370
POA6341,56,11,4,9,8,6,25,22,6,137
POA6343,66,11,8,3,7,0,13,22,0,122
POA6346,127,30,58,21,40,15,95,52,20,462
POA6348,66,63,96,39,45,20,81,43,12,459
POA6350,38,12,22,15,14,9,14,17,3,133
POA6351,17,5,0,0,0,0,0,5,0,33
POA6352,32,8,6,9,5,4,0,11,3,70
POA6353,151,50,55,35,42,25,38,51,9,460
POA6355,140,16,14,6,19,13,26,35,7,270
POA6356,35,3,3,5,0,3,11,9,0,73
POA6357,21,0,5,0,0,0,5,3,0,36
POA6358,27,6,3,3,6,0,3,7,3,60
POA6359,85,12,25,10,27,13,31,32,0,242
POA6361,28,0,0,5,0,0,0,7,4,51
POA6363,28,14,4,0,0,0,0,10,0,59
POA6365,108,29,21,18,21,10,25,32,4,263
POA6367,64,6,19,16,17,6,13,24,6,171
POA6368,34,3,7,0,0,0,0,4,0,44
POA6369,103,28,31,20,22,16,20,49,4,287
POA6370,87,11,22,10,17,11,19,25,6,207
POA6372,16,0,6,8,0,5,3,8,0,50
POA6373,35,0,0,0,9,0,6,3,0,54
POA6375,138,36,51,42,46,29,37,52,7,442
POA6383,105,25,26,36,24,15,22,37,0,288
POA6384,10,0,0,0,0,0,0,3,0,18
POA6385,12,0,0,0,0,0,0,0,0,12
POA6386,14,5,4,0,6,4,10,4,0,39
POA6390,99,79,148,53,76,25,185,74,13,745
POA6391,200,56,57,32,41,23,58,81,10,550
POA6392,102,17,24,10,9,3,16,27,0,218
POA6393,22,0,4,0,7,0,0,11,0,46
POA6394,139,24,15,5,17,13,7,40,0,261
POA6395,229,75,91,54,63,35,72,135,16,760
POA6396,86,12,9,11,18,3,13,48,0,205
POA6397,17,0,0,0,0,0,0,7,0,36
POA6398,50,32,28,20,18,23,11,32,14,221
POA6401,473,424,486,399,394,310,306,435,56,3280
POA6403,7,6,6,13,6,16,5,11,0,73
POA6405,37,10,19,10,5,5,23,23,5,147
POA6407,108,41,65,37,47,33,30,61,9,437
POA6409,61,10,11,17,15,9,10,21,0,161
POA6410,70,35,55,49,27,29,34,71,9,372
POA6411,26,11,3,3,7,3,5,4,4,72
