POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6000,7020,5836,12861,3441,2235,5673,1000,1293,2292,241,218,458,274,208,481,4958,3954,8912,1098,1276,2375,5.5,5.3,5.4,70.6,67.7,69.3,66.7,64.1,65.5,800,739,1541,154,202,358,1955,1809,3761,607,648,1251,820,374,1196,66,63,128,64,79,140,951,510,1459,4330,3701,8035,2074,1950,4025,1601,1395,2991,4627,4066,8698
POA6003,1789,1582,3372,905,625,1528,299,390,689,66,61,121,55,53,111,1315,1136,2448,261,317,576,4.1,4.7,4.4,73.5,71.6,72.6,70.5,68.2,69.4,206,170,371,46,67,109,488,470,954,166,185,352,239,125,361,11,20,31,15,19,36,263,167,431,1258,1078,2340,448,478,930,538,458,999,1119,1059,2176
POA6004,5680,5131,10809,2973,1910,4885,771,1158,1931,178,177,358,217,181,398,4139,3425,7568,956,1328,2282,5.3,5.2,5.2,73,66.7,70,69.1,63.3,66.3,794,713,1506,118,164,281,1663,1617,3282,561,550,1101,631,343,977,38,48,86,54,71,125,724,463,1187,3762,3530,7292,1714,1573,3279,1491,1372,2866,3786,3556,7345
POA6005,2890,2736,5618,1565,1161,2733,372,612,990,81,102,184,108,84,194,2127,1970,4096,554,604,1162,5,4.4,4.7,73.6,72,72.8,69.9,68.9,69.4,460,396,859,100,131,233,871,916,1783,230,251,478,308,174,481,27,30,58,18,34,52,347,234,588,2050,1932,3984,823,848,1675,778,729,1511,1992,1965,3956
POA6006,3992,4141,8130,2065,1450,3518,644,1174,1818,113,153,262,135,109,240,2953,2878,5833,832,1085,1915,4.5,3.7,4.1,74,69.6,71.8,70.7,67,68.8,394,418,816,144,231,380,1172,1324,2492,339,373,713,521,271,793,28,46,72,45,60,106,590,378,967,3740,3834,7574,766,807,1567,2267,2389,4657,2004,2062,4064
POA6007,3288,3712,7000,1836,1360,3199,475,963,1436,92,155,254,86,87,172,2491,2565,5059,585,918,1499,3.6,3.3,3.4,75.9,69.1,72.3,73.1,66.9,69.8,492,515,1009,126,194,313,1066,1270,2332,282,345,630,361,201,565,25,39,65,35,49,79,424,290,711,2818,3071,5888,783,893,1675,1441,1602,3040,1979,2176,4157
POA6008,6426,7084,13507,3075,2208,5282,1043,1948,2986,150,208,355,181,177,359,4446,4543,8994,1580,2195,3773,4.1,3.9,4,69.2,64.2,66.6,66.4,61.7,63.9,1241,1142,2387,246,420,663,2094,2499,4593,461,614,1083,465,292,762,45,54,99,66,124,187,577,473,1049,5880,6384,12267,1389,1595,2987,3408,3796,7208,3498,3850,7350
POA6009,7721,8167,15885,2998,1664,4664,1581,2491,4078,169,237,405,283,252,532,5023,4652,9680,2430,3232,5663,5.6,5.4,5.5,65.1,57,60.9,61.5,53.9,57.6,1643,1308,2950,251,428,676,2600,2716,5317,421,658,1076,371,253,616,64,66,130,49,104,152,475,420,898,7182,7395,14579,1766,1853,3617,4311,4599,8911,4339,4313,8656
POA6010,7403,8214,15616,3186,1934,5127,1288,2232,3518,173,258,430,208,191,400,4856,4613,9468,2179,3214,5394,4.3,4.1,4.2,65.6,56.2,60.6,62.7,53.9,58.1,1185,1000,2182,222,454,677,2423,2690,5108,549,849,1405,529,288,810,37,49,82,52,162,212,610,496,1107,7151,7571,14726,1491,1605,3102,4248,4617,8866,4006,4230,8238
POA6011,3766,4097,7864,1683,939,2628,725,1159,1879,111,144,258,94,88,182,2613,2334,4945,965,1586,2553,3.6,3.9,3.7,69.5,56.9,62.9,67,54.7,60.6,605,461,1067,78,198,280,1360,1488,2852,268,368,634,230,118,349,18,27,46,31,75,112,283,223,502,3599,3873,7474,672,737,1411,2282,2452,4736,1788,1995,3783
