POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6000,0,0,0,0,0,0,0,0,3,99,46,5,155,4,4,10,162,76,3,246
POA6003,0,0,0,0,0,0,0,0,0,26,17,7,51,0,4,7,54,26,0,79
POA6004,0,0,0,0,0,0,0,4,4,102,43,3,152,0,6,9,164,91,0,252
POA6005,0,0,0,0,0,0,0,0,0,60,38,3,105,0,3,3,103,34,0,146
POA6006,0,0,0,0,0,0,0,0,0,115,68,6,191,3,8,10,200,82,4,276
POA6007,0,0,0,0,0,0,0,0,0,130,48,7,187,6,9,8,191,59,0,248
POA6008,3,4,0,0,0,4,0,0,4,223,130,16,367,15,10,27,393,116,0,515
POA6009,0,0,0,0,0,0,0,0,0,159,109,15,282,11,8,20,298,117,0,422
POA6010,0,0,0,0,0,0,0,5,5,241,176,18,426,16,19,29,456,170,6,639
POA6011,0,0,0,0,0,0,0,0,0,92,75,5,177,5,5,8,186,67,3,255
POA6012,0,0,0,0,0,0,0,0,0,84,76,5,171,0,7,11,177,82,0,262
POA6014,0,0,0,0,0,0,0,6,4,232,155,15,405,7,12,18,423,154,3,576
POA6015,0,0,0,0,0,0,0,0,0,51,35,0,88,0,0,0,87,59,0,142
POA6016,0,0,0,0,0,0,0,0,4,128,96,3,231,4,3,6,238,98,3,337
POA6017,0,0,0,0,0,0,0,0,0,32,35,9,77,0,0,3,80,56,0,140
POA6018,0,3,0,0,0,3,5,4,15,574,386,30,993,24,25,46,1046,460,12,1516
POA6019,0,3,0,0,0,3,0,9,9,334,261,26,620,14,14,30,647,250,8,905
POA6020,0,0,0,0,0,0,3,4,9,226,155,22,400,7,7,14,414,169,4,581
POA6021,0,0,0,0,0,0,0,3,4,281,191,21,498,14,13,29,524,276,9,814
POA6022,0,0,0,0,0,0,0,4,7,88,61,8,157,0,4,4,164,69,4,237
POA6023,0,0,0,0,0,0,3,0,3,228,148,6,384,11,7,18,400,121,4,521
POA6024,0,0,0,0,0,0,0,0,3,228,145,16,390,15,13,28,411,187,5,606
POA6025,4,9,0,0,0,9,0,4,16,499,346,40,879,27,25,54,934,344,6,1282
POA6026,0,4,0,0,0,4,4,3,7,327,223,24,575,13,3,20,593,197,4,797
POA6027,6,4,0,0,0,4,5,4,11,611,419,68,1102,35,38,70,1168,467,15,1651
POA6028,0,0,0,0,0,0,0,5,6,329,204,28,551,9,12,24,575,191,6,772
POA6029,0,0,0,0,0,0,0,0,0,27,12,0,37,0,0,0,37,18,0,61
POA6030,0,11,0,0,0,12,4,9,25,718,536,75,1328,66,57,123,1449,662,13,2120
POA6031,0,3,0,0,0,3,0,5,10,335,259,37,635,12,26,41,670,238,9,920
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7
POA6033,0,0,0,0,0,0,0,0,0,5,3,0,9,0,0,0,11,3,0,11
