POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6000,199,132,57,28,29,12,10,468,35,25,3,0,0,3,4,72,62,29,0,6,4,3,0,110,74,44,21,12,7,4,6,162,0,0,0,0,0,0,0,0,373,230,84,43,41,29,21,810,18,19,9,8,8,8,8,81,4,5,8,4,0,0,0,17,5,4,9,3,7,7,0,35,9,20,6,4,9,0,0,50,0,0,0,0,0,0,0,0,27,56,25,16,29,17,15,188,404,281,113,58,67,45,29,998
POA6003,35,35,10,3,5,9,0,98,6,6,5,0,3,0,0,24,18,13,6,0,3,0,0,37,35,19,7,3,9,5,3,78,0,0,0,0,0,0,0,0,90,71,32,14,16,14,6,245,7,3,7,0,4,0,0,29,5,5,4,0,0,0,0,13,3,0,0,0,0,0,0,4,9,4,7,3,8,0,0,26,0,0,0,0,0,0,0,0,18,12,13,5,8,6,3,67,112,86,43,20,28,14,9,311
POA6004,271,130,44,26,31,20,9,533,20,10,3,3,8,4,3,47,41,16,13,3,7,5,0,86,43,22,12,9,11,7,5,108,0,0,0,0,0,0,0,3,370,182,70,39,51,43,17,768,13,16,17,14,20,14,8,102,4,8,0,6,4,3,0,26,9,5,0,0,6,5,0,15,0,3,7,5,4,0,0,31,3,0,0,0,0,0,0,3,22,36,30,33,35,23,6,183,391,215,94,74,87,65,28,951
POA6005,99,60,30,10,10,6,5,207,14,7,0,0,0,0,0,36,32,12,0,0,5,0,0,46,40,21,18,6,3,4,0,88,0,0,0,0,0,0,0,7,189,105,48,17,17,3,5,380,5,14,16,3,3,0,5,47,3,11,9,3,0,6,0,26,0,7,4,0,0,0,0,13,3,8,0,8,3,3,3,32,4,0,0,0,0,0,0,3,16,32,22,16,20,12,9,118,205,134,68,31,35,17,6,497
POA6006,87,73,53,34,34,22,12,325,71,53,26,21,25,24,4,218,67,70,25,19,20,7,6,211,227,206,155,84,86,39,18,818,0,0,0,0,0,0,0,0,457,405,258,157,165,96,39,1578,6,14,5,6,4,0,0,38,6,11,5,5,13,4,0,49,5,9,0,3,8,3,0,22,13,27,24,6,13,8,9,97,4,0,0,0,0,0,0,8,32,58,34,27,40,18,14,220,487,458,295,184,207,113,54,1794
POA6007,92,71,48,21,33,14,11,293,55,42,22,12,32,11,3,182,78,57,22,14,13,7,3,199,141,104,76,33,32,22,10,422,0,0,0,0,0,0,0,3,367,279,177,91,115,52,22,1099,5,9,13,9,6,8,3,52,8,7,6,9,16,8,0,46,0,6,7,8,10,3,0,24,10,27,15,15,16,7,4,85,0,4,0,0,0,0,0,5,17,45,35,30,44,24,11,211,391,328,212,119,158,73,40,1311
POA6008,223,284,165,92,102,68,29,962,75,73,51,42,46,42,16,345,77,104,65,36,49,24,3,352,308,290,158,113,128,88,27,1106,3,3,3,0,0,0,0,7,685,750,446,284,326,218,66,2769,12,21,27,26,25,10,13,131,10,17,26,18,23,17,4,111,9,21,20,6,14,4,3,84,16,30,21,31,45,22,22,178,0,0,0,0,0,0,0,0,42,88,94,80,107,47,43,502,730,838,544,359,429,261,114,3280
POA6009,227,353,245,167,205,124,75,1401,93,149,88,53,64,47,21,512,94,146,96,66,73,49,19,548,232,315,226,148,244,154,59,1369,7,3,0,0,0,0,0,7,644,966,648,434,593,382,173,3834,11,35,31,18,27,25,17,172,3,5,4,9,11,11,7,56,0,13,4,5,9,4,9,52,13,34,19,20,35,23,22,169,3,0,0,0,0,0,0,3,25,92,71,51,89,66,55,446,666,1057,714,485,686,447,225,4280
POA6010,170,236,140,112,154,98,59,963,83,107,67,47,68,48,27,446,106,134,93,65,76,39,17,529,381,393,307,208,303,185,88,1859,0,0,0,0,0,0,0,6,739,867,611,427,604,361,186,3802,0,24,24,18,39,25,19,147,6,16,11,15,16,11,8,80,7,16,11,16,16,23,4,91,22,58,50,37,62,37,20,282,0,0,0,0,0,0,0,4,42,109,101,88,136,88,48,612,778,981,717,516,737,448,232,4418
POA6011,43,62,53,39,58,47,20,317,57,62,50,22,40,21,17,265,44,55,37,27,48,30,10,257,219,212,160,99,190,116,50,1044,0,0,0,0,0,0,0,4,359,390,302,193,340,215,94,1887,3,5,10,3,6,6,0,39,6,5,3,5,8,9,3,32,0,5,10,8,14,4,3,41,6,16,21,22,42,18,6,136,0,3,0,0,0,0,0,6,12,42,46,37,68,37,17,257,373,427,351,230,403,249,115,2137
